0.000	0	219
112.659	0.1	215
232.139	0.3	210
349.059	0.4	205
463.524	0.5	201
575.634	0.7	196
685.484	0.8	192
793.162	0.9	188
898.729	1	185
1002.268	1.2	181
1103.875	1.3	177
1203.587	1.4	174
1301.492	1.5	171
1397.633	1.7	167
1492.092	1.8	165
1584.893	1.9	161
1676.113	2	159
1765.799	2.1	156
1853.998	2.3	153
1940.753	2.4	151
2026.109	2.5	148
2110.108	2.6	146
2192.790	2.7	144
2274.196	2.9	141
2354.362	3	139
2433.327	3.1	137
2511.124	3.2	135
2587.775	3.3	133
2663.325	3.5	131
2737.799	3.6	129
2811.224	3.7	127
2883.632	3.8	126
2955.045	3.9	124
3025.492	4	122
3095.001	4.1	121
3163.586	4.3	119
3231.277	4.4	117
3298.097	4.5	116
3364.067	4.6	114
3429.205	4.7	113
3493.531	4.8	112
3557.065	4.9	110
3619.827	5	109
3681.833	5.1	108
3743.101	5.2	106
3803.648	5.4	105
3863.490	5.5	104
3922.643	5.6	103
3981.124	5.7	102
4038.945	5.8	101
4096.119	5.9	99
4152.665	6	98
4208.592	6.1	97
4263.913	6.2	96
4318.645	6.3	95
4372.794	6.4	94
4426.377	6.5	93
4479.402	6.6	92
