0.000	0	70
72.684	0.1	68
151.273	0.2	67
228.083	0.3	65
303.055	0.4	63
376.457	0.5	62
448.221	0.6	61
518.506	0.7	59
587.321	0.8	58
654.725	0.9	57
720.790	1	56
785.559	1.1	54
849.075	1.2	53
911.384	1.3	52
972.526	1.4	51
1032.544	1.5	50
1091.476	1.6	49
1149.361	1.7	48
1206.234	1.8	48
1262.131	1.9	47
1317.070	2	46
1371.091	2.1	45
1424.230	2.2	44
1476.495	2.3	44
1527.933	2.4	43
1578.551	2.5	42
1628.391	2.6	42
1677.457	2.7	41
1725.785	2.8	40
1773.395	2.9	40
1820.296	3	39
1866.519	3.1	39
1912.080	3.2	38
1956.996	3.2	38
2001.284	3.3	37
2044.960	3.4	37
2088.040	3.5	36
2130.540	3.6	36
2172.475	3.7	35
2213.857	3.8	35
2254.702	3.9	34
2295.022	4	34
2334.832	4.1	33
2374.143	4.1	33
2412.968	4.2	33
2451.313	4.3	32
2489.195	4.4	32
2526.625	4.5	31
2563.608	4.6	31
2600.158	4.7	31
2636.285	4.7	30
2671.995	4.8	30
2707.301	4.9	30
2742.209	5	29
2776.729	5.1	29
2810.869	5.2	29
2844.635	5.3	28
2878.039	5.3	28
2911.083	5.4	28
2943.779	5.5	28
2976.132	5.6	27
3008.150	5.7	27
3039.837	5.8	27
3071.201	5.8	26
3102.250	5.9	26
3132.988	6	26
3163.422	6.1	26
3193.557	6.2	26
3223.400	6.2	25
3252.954	6.3	25
3282.226	6.4	25
3311.221	6.5	25
3339.943	6.6	24
3368.398	6.6	24
3396.590	6.7	24
3424.525	6.8	24
3452.207	6.9	24
3479.640	7	23
3506.828	7	23
3533.777	7.1	23
3560.487	7.2	23
3586.966	7.3	23
3613.217	7.3	22
3639.243	7.4	22
3665.047	7.5	22
3690.635	7.6	22
3716.008	7.6	22
3741.171	7.7	22
3766.127	7.8	21
3790.879	7.9	21
3815.430	8	21
3839.784	8	21
3863.944	8.1	21
3887.912	8.2	21
3911.691	8.3	20
3935.285	8.3	20
3958.696	8.4	20
3981.927	8.5	20
4004.981	8.6	20
4027.858	8.6	20
4050.564	8.7	20
4073.101	8.8	19
4095.469	8.8	19
4117.673	8.9	19
4139.715	9	19
4161.595	9.1	19
4183.318	9.1	19
4204.885	9.2	19
4226.299	9.3	19
4247.559	9.4	18
4268.671	9.4	18
4289.635	9.5	18
4310.454	9.6	18
4331.130	9.6	18
4351.663	9.7	18
4372.057	9.8	18
4392.312	9.9	18
4412.432	9.9	18
4432.416	10	17
4452.269	10.1	17
4471.990	10.1	17
4491.582	10.2	17
